match_id;status;DURASI;hero_1;hero_2;hero_3;hero_4;hero_5;R1;R2;R3;R4;R5;L1;L2;L3;L4;L5;K;D;A;NET;GPM;XPM;DMG;HEAL;BLD;WARDS_KUNING;WARDS_BIRU;IH1_1;IH1_2;IH1_3;IH1_4;IH1_5;IH1_6;IH1_7;IH2_1;IH2_2;IH2_3;IH2_4;IH2_5;IH2_6;IH2_7;IH3_1;IH3_2;IH3_3;IH3_4;IH3_5;IH3_6;IH3_7;IH4_1;IH4_2;IH4_3;IH4_4;IH4_5;IH4_6;IH4_7;IH5_1;IH5_2;IH5_3;IH5_4;IH5_5;IH5_6;IH5_7
6806547565;W;00:31:54;85;38;17;137;14;Support;Core;Core;Core;Core;Bottom;Top;Middle;Roaming;Bottom;31;11;80;71700;2500;3300;75300;14000;20100;15;22;269;214;218;79;30;185;290;185;635;36;29;9;116;306;63;116;178;259;250;41;361;50;116;185;1;36;31;574;50;116;117;1;108;131;331
6806547565;L;00:31:54;110;136;58;22;41;Support;Core;Support;Core;Core;Bottom;Bottom;Roaming;Middle;Top;10;37;30;45300;1800;1900;55500;3600;1200;16;30;0;0;34;98;244;214;290;50;11;36;17;73;116;949;185;218;29;0;36;593;676;259;36;100;180;0;41;990;63;116;166;0;36;75;306
6808446343;L;00:32:19;38;19;128;14;114;Core;Support;Support;Core;Core;Top;Top;Roaming;Bottom;Middle;19;37;37;51100;1900;2400;91800;1400;3300;15;25;931;11;635;34;0;0;675;180;40;34;244;1;188;838;102;188;218;34;29;38;357;31;50;116;108;73;125;358;50;116;168;36;569;252;828
6808446343;W;00:32:19;54;136;61;52;31;Core;Support;Core;Core;Support;Top;Bottom;Bottom;Middle;Top;37;20;98;77200;2700;3500;105200;11700;30200;16;27;112;50;143;151;154;168;828;30;1;36;214;254;232;949;139;75;908;180;116;75;381;48;119;121;31;1;116;357;36;102;254;218;214;0;675
6808093633;L;00:31:08;128;65;43;6;137;Support;Core;Core;Core;Support;Bottom;Middle;Top;Bottom;Top;11;28;24;44700;1600;1900;63400;0;2200;14;27;0;0;42;102;36;214;331;48;36;116;1;40;232;828;244;596;48;40;36;116;1076;263;63;116;34;75;75;309;214;36;188;21;0;40;680
6808093633;W;00:31:08;16;106;51;10;111;Core;Core;Support;Core;Support;Bottom;Middle;Roaming;Top;Bottom;28;12;61;65900;2200;2800;83600;11400;19000;15;28;1;226;36;29;100;73;675;50;36;147;141;569;166;331;0;214;0;36;102;593;949;63;596;160;147;116;152;376;29;37;232;36;92;244;356
6809812984;W;00:25:05;11;17;61;51;75;Core;Core;Core;Support;Support;Bottom;Middle;Top;Bottom;Top;29;10;65;53000;2300;2800;73400;2100;7600;13;21;172;63;112;73;116;236;828;41;36;154;178;63;273;589;36;908;180;90;57;24;946;36;214;40;60;0;102;290;0;267;0;36;180;38;990
6809812984;L;00:25:05;10;19;135;88;31;Core;Core;Core;Support;Support;Top;Middle;Bottom;Bottom;Top;10;29;18;34000;1500;1800;44100;391;1200;12;23;170;36;75;596;63;26;212;41;21;252;1;36;63;589;50;116;36;178;11;30;331;1;593;16;214;42;34;840;36;180;43;0;593;39;838
6809523804;W;00:54:41;3;88;23;4;33;Support;Support;Core;Core;Core;Bottom;Top;Middle;Bottom;Top;52;21;108;128400;2800;3400;146700;7300;27900;25;47;226;29;102;116;43;36;585;256;218;1;36;214;100;335;141;600;116;220;249;112;638;158;603;116;208;50;123;825;29;116;1;908;110;232;571
6809523804;L;00:54:41;51;67;120;38;75;Support;Core;Core;Core;Support;Bottom;Top;Middle;Bottom;Top;21;52;44;98900;2300;2800;123100;4100;7900;26;50;102;214;36;1;226;218;364;208;63;139;160;147;108;837;1;108;116;63;123;143;309;110;102;635;0;29;235;585;102;110;43;180;188;36;336
